accession,sample_name,longitude_deg,latitude_deg,country,studies,env_biome,env_feature,env_material,experiment_type,collection_date,env_package_type
mgm4453254.3,METASOIL F2b Rothamsted 2009 February 0-21cm Indirect MPBIO1O1,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-02-01 12:00:00 UTC-0,soil
mgm4453256.3,METASOIL J4 Rothamsted 2009 July 0-10cm Indirect DNA Tissue,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-06-01 12:00:00 UTC-0,soil
mgm4453257.3,METASOIL F4 Rothamsted 2009 February 0-10cm Indirect DNA Tissue,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-02-01 12:00:00 UTC-0,soil
mgm4453261.3,METASOIL J1 Rothamsted 2009 July 0-21cm Direct MPBIO1O1,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-06-01 12:00:00 UTC-0,soil
mgm4453274.3,METASOIL F5 Rothamsted 2009 February 0-10cm Indirect Gram positive,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-02-01 12:00:00 UTC-0,soil
mgm4453406.3,METASOIL J7 Rothamsted 2009 July 0-21cm Direct MoBIO,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-06-01 12:00:00 UTC-0,soil
mgm4453407.3,METASOIL F3 Rothamsted 2009 February 0-10cm Indirect in plug,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-02-01 12:00:00 UTC-0,soil
mgm4453433.3,METASOIL F6 Rothamsted 2009 February 11-21cm Indirect in plug,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-02-01 12:00:00 UTC-0,soil
mgm4453434.3,METASOIL J1a-10 Rothamsted 2010 July 0-21cm Direct MPBIO1O1,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2010-06-01 12:00:00 UTC-0,soil
mgm4453435.3,METASOIL J1rhizo-10 Rothamsted Rhizosphere 2010 July 0-21cm Direct MPBIO1O1,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2010-06-01 12:00:00 UTC-0,soil
mgm4453436.3,METASOIL J1b-10 Rothamsted 2010 July 0-21cm Direct MPBIO1O1,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2010-06-01 12:00:00 UTC-0,soil
mgm4455655.3,750,51.816,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08,sediment
mgm4455656.3,751,51.816,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08,sediment
mgm4455657.3,752,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455658.3,753,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455659.3,754,51.816,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455660.3,755,51.816,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08,sediment
mgm4455661.3,756,51.816,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08 UTC,soil
mgm4455662.3,757,-0.356322,-0.35,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455663.3,758,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455664.3,759,51.816,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08 UTC,soil
mgm4455665.3,761,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455666.3,762,-0.356322,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08 UTC,soil
mgm4455667.3,763,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455668.3,764,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455669.3,765,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455670.3,766,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08 UTC,soil
mgm4455671.3,767,-0.356322,-0.35,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455672.3,768,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455673.3,769,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08 UTC,soil
mgm4455674.3,770,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455675.3,771,-0.356322,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455676.3,772,51.816,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455677.3,773,51.816,51.809566,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455678.3,774,51.816,-0.35,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08 UTC,soil
mgm4455679.3,775,51.816,51.809566,Great Britain,rousk_ph_gradient,soil,soil,soil,Amplicon,2008-04-01 UTC,soil
mgm4455680.3,776,-0.356322,-0.35,United Kingdom,rousk_ph_gradient,soil,soil,soil,Amplicon,4-1-08 UTC,soil
mgm4455737.3,840,-74.1,42.116665,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455738.3,841,-72.17,42.5,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455739.3,842,-81.67,34.616665,United States of America,lauber_88_soils,"soil, Temperate grasslands","soil, grassland soil",soil,Amplicon,,soil
mgm4455740.3,843,-71.58,-13.083333,Peru,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455741.3,844,-95.167,47.167,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455742.3,845,-114,46.8,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455743.3,846,-71.23,-12.65,Peru,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455744.3,847,-115.867,35.2,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455745.3,848,-95.167,47.183,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455746.3,849,-102.38333,43.75,United States of America,lauber_88_soils,"grassland, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455747.3,850,-71.583336,-13.083333,Peru,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455748.3,851,-104.7,53.9,Canada,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455749.3,852,-114,46.8,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455750.3,853,-123.53,49.466667,United States of America,lauber_88_soils,"soil, Temperate grasslands","soil, grassland soil",soil,Amplicon,,soil
mgm4455751.3,854,-105.7,40.4,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455752.3,855,-120.03333,34.683334,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455753.3,856,-106.73333,34.333332,United States of America,lauber_88_soils,"grassland, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455754.3,857,-111.55,35.37,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455755.3,858,-111.76667,36.05,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455756.3,859,-72.166664,42.5,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455757.3,860,-81.67,34.616665,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455758.3,861,-68.1,44.866665,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455759.3,862,-105.93,35.38,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455760.3,863,-111.46667,39.32,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455761.3,864,-120.05,34.7,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455762.3,865,-55.683334,-27.733334,Argentina,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455763.3,866,-118.7,36.5,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455764.3,867,-96.86667,31.466667,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455765.3,868,-155.7,20.08,United States of America,lauber_88_soils,"soil, Tropical and subtropical grasslands, savannas, and shrubland biome","soil, grassland soil",soil,Amplicon,,soil
mgm4455766.3,869,-104.83,40.8,United States of America,lauber_88_soils,"grassland, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455767.3,870,-118.63,36.616665,United States of America,lauber_88_soils,"soil, Temperate grasslands","soil, grassland soil",soil,Amplicon,,soil
mgm4455768.3,871,-68.1,44.87,United States of America,lauber_88_soils,"Tropical humid forests, soil","soil, forest soil",soil,MT,,soil
mgm4455769.3,872,-73.75,41.8,United States of America,lauber_88_soils,"soil, Temperate grasslands","soil, grassland soil",soil,Amplicon,,soil
mgm4455770.3,873,-65.833336,18.3,Puerto Rico,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455771.3,874,-105.333336,40.583332,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455772.3,875,-115.6,34.9,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455773.3,876,-155.7,20.08,United States of America,lauber_88_soils,"soil, Tropical and subtropical grasslands, savannas, and shrubland biome","soil, grassland soil",soil,Amplicon,,soil
mgm4455774.3,877,-79.083336,35.966667,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455775.3,878,-74.25833,42.158333,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455776.3,879,-148.25,64.8,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455777.3,880,-149.58333,68.63333,United States of America,lauber_88_soils,"grassland, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455778.3,881,-106.55,35.9,United States of America,lauber_88_soils,"grassland, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455779.3,882,-96.6,39.1,United States of America,lauber_88_soils,"Temperate grasslands, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455780.3,883,-149.58333,68.63333,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455781.3,884,-96.87,31.47,United States of America,lauber_88_soils,"Temperate grasslands, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455782.3,885,-111.48333,39.316666,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455783.3,886,-71.26667,-12.633333,Peru,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455784.3,887,-96.23333,33.3,United States of America,lauber_88_soils,"soil, Temperate grasslands","soil, grassland soil",soil,Amplicon,,soil
mgm4455785.3,888,-118.166664,36.45,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455786.3,889,-149.58333,68.63333,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455787.3,890,-105.2,53.983334,Canada,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455788.3,891,-80.05,41.583332,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455789.3,892,-155.7,20.083334,United States of America,lauber_88_soils,"Tropical and subtropical grasslands, savannas, and shrubland biome",grassland soil,soil,Amplicon,,soil
mgm4455790.3,893,-71.583336,-13.083333,Peru,lauber_88_soils,Tropical humid forests,tropical soil,soil,Amplicon,,soil
mgm4455791.3,894,-122.15,44.216667,United States of America,lauber_88_soils,Temperate broadleaf and mixed forest biome,forest soil,soil,Amplicon,,soil
mgm4455792.3,895,-116.066666,33.966667,United States of America,lauber_88_soils,shrubland,shrubland,soil,Amplicon,,soil
mgm4455793.3,896,-96.6,39.1,United States of America,lauber_88_soils,shrubland,shrubland,soil,Amplicon,,soil
mgm4455794.3,897,-96.6,39.1,United States of America,lauber_88_soils,"soil, shrubland","soil, grassland soil",soil,Amplicon,,soil
mgm4455795.3,898,-106.73333,34.333332,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455796.3,899,-111.45,39.333332,United States of America,lauber_88_soils,"grassland, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455797.3,900,-65.833336,18.3,Puerto Rico,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455798.3,901,-93.2,45.4,United States of America,lauber_88_soils,"soil, Temperate grasslands","soil, grassland soil",soil,Amplicon,,soil
mgm4455799.3,902,-111.583336,39.35,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455800.3,903,-80.05,41.583332,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455801.3,904,-79.083336,35.966667,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455802.3,905,-73.75,41.8,United States of America,lauber_88_soils,"Temperate grasslands, soil","soil, grassland soil",soil,Amplicon,,soil
mgm4455803.3,906,-111.76667,36.05,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455804.3,907,-71.583336,-13.083333,Peru,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455805.3,908,-119.8,34.466667,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455806.3,909,-81.666664,34.616665,United States of America,lauber_88_soils,Temperate grasslands,grassland soil,soil,Amplicon,,soil
mgm4455807.3,910,-97.23,33.93,United States of America,lauber_88_soils,"soil, Temperate grasslands","soil, grassland soil",soil,Amplicon,,soil
mgm4455808.3,911,-105.93,35.383335,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455809.3,912,-55.683334,-27.733334,Argentina,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455810.3,913,-106.55,35.9,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455811.3,914,-115.65,35.2,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455812.3,915,-122.15,44.216667,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455813.3,916,-123.53333,49.466667,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455814.3,917,-74.35,41.933334,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455815.3,918,-118.166664,36.45,United States of America,lauber_88_soils,Temperate broadleaf and mixed forest biome,forest soil,soil,Amplicon,,soil
mgm4455816.3,919,-111.55,35.37,United States of America,lauber_88_soils,"soil, forest","soil, forest soil",soil,Amplicon,,soil
mgm4455817.3,920,-65.83,18.3,Puerto Rico,lauber_88_soils,"Tropical humid forests, soil","tropical soil, soil",soil,Amplicon,,soil
mgm4455818.3,921,-79.083336,35.966667,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
mgm4455819.3,922,-115.867,35.2,United States of America,lauber_88_soils,"soil, shrubland","soil, shrubland",soil,Amplicon,,soil
mgm4455820.3,923,-81.666664,34.616665,United States of America,lauber_88_soils,"Temperate broadleaf and mixed forest biome, soil","soil, forest soil",soil,Amplicon,,soil
